"id","neighbourhood_name","state","state_lga_id","latitude","longitude","created_at","updated_at"
"1","Aba North","Abia","1","5.1268","7.3679",NULL,NULL
"2","Ahia Udele","Abia","1","5.4527","7.5248",NULL,NULL
"3","Aba South","Abia","2","5.0703","7.3409",NULL,NULL
"4","Obi Ngwa","Abia","3","5.141","7.4814",NULL,NULL
"5","Arochukwu","Abia","4","5.3845","7.8867",NULL,NULL
"6","Ohafia","Abia","5","5.6432","7.8399",NULL,NULL
"7","Amamgwu","Abia","5","5.8297","7.5215",NULL,NULL
"9","Ikwuano","Abia","6","5.4093","7.5897",NULL,NULL
"10","Bende","Abia","7","5.4527","7.5248",NULL,NULL
"11","Isiala-Ngwa North","Abia","8","5.2868","7.4165",NULL,NULL
"12","Isiala-Ngwa South","Abia","9","5.4114","7.4165",NULL,NULL
"13","Osisioma Ngwa","Abia","10","5.2049","7.3301",NULL,NULL
"14","Uturu","Abia","11","5.8308","7.4191",NULL,NULL
"15","Isuikwuato","Abia","11","5.807","7.4814",NULL,NULL
"16","Ugwunagbo","Abia","12","4.9981","7.3301",NULL,NULL
"17","Obehie","Abia","14","5.0034","7.3139",NULL,NULL
"18","Ubakala","Abia","16","5.5163","7.4864",NULL,NULL
"19","Umu-Neochi","Abia","17","5.9545","7.4165",NULL,NULL
"20","Hong","Adamawa","18","10.2308","12.92950241",NULL,NULL
"21","Numan","Adamawa","19","9.4534","12.03200307",NULL,NULL
"22","Jada","Adamawa","20","8.6888","12.3174",NULL,NULL
"23","Kojoli","Adamawa","20","8.5734","12.3765",NULL,NULL
"24","Demsa","Adamawa","21","9.4555","12.1526",NULL,NULL
"25","shelleng","Adamawa","22","9.8972","12.0147",NULL,NULL
"26","Song","Adamawa","23","9.8242","12.62371941",NULL,NULL
"27","Toungo","Adamawa","24","7.9895","11.77666992",NULL,NULL
"28","Lamurde","Adamawa","25","9.6057","11.79527239",NULL,NULL
"29","Madagali","Adamawa","26","10.8904","13.627597",NULL,NULL
"30","Maiha","Adamawa","27","10.0691","13.1842",NULL,NULL
"31","Fufore","Adamawa","28","9.221","12.6546",NULL,NULL
"32","Ganye","Adamawa","29","8.4605","12.0525",NULL,NULL
"33","Mayo-Belwa","Adamawa","30","9.0564","12.06191512",NULL,NULL
"34","Gayuk","Adamawa","31","9.8233","11.9348",NULL,NULL
"35","Guyuk","Adamawa","31","9.8847","11.93227882",NULL,NULL
"36","Michika","Adamawa","32","10.6258","13.3905",NULL,NULL
"37","Gombi","Adamawa","34","10.1548","12.73722101",NULL,NULL
"38","Mubi South","Adamawa","35","10.25972835","13.26032547",NULL,NULL
"39","Yola North","Adamawa","36","9.1777","12.41307997",NULL,NULL
"40","Jimeta","Adamawa","36","9.2795","12.4582",NULL,NULL
"41","Yola South","Adamawa","37","9.2611","12.41527535",NULL,NULL
"42","Girei","Adamawa","38","9.3673","12.5499",NULL,NULL
"43","Mkpat Enin","Akwa Ibom","39","4.7322","7.7485",NULL,NULL
"44","Abak","Akwa Ibom","40","5.0033","7.7743",NULL,NULL
"45","Nsit Atai","Akwa Ibom","41","4.8253","8.0247",NULL,NULL
"47","Nsit Ibom","Akwa Ibom","42","4.8987","7.9048",NULL,NULL
"48","Bolki","Adamawa","43","9.7833","12.55",NULL,NULL
"49","Ibesikpo Asutan","Akwa Ibom","45","4.9188","7.9484",NULL,NULL
"50","Ibiono Ibom","Akwa Ibom","46","5.1981","7.8939",NULL,NULL
"51","Obot Akara","Akwa Ibom","47","5.2712","7.6599",NULL,NULL
"54","Ika","Akwa Ibom","48","5.0061","7.5356",NULL,NULL
"55","Ikono","Akwa Ibom","49","5.1992","7.8069",NULL,NULL
"56","Okobo","Akwa Ibom","50","4.8243","8.112",NULL,NULL
"58","Ikot Abasi","Akwa Ibom","51","4.5739","7.5789",NULL,NULL
"60","Ikot Ekpene","Akwa Ibom","52","5.1744","7.7145",NULL,NULL
"62","Onna","Akwa Ibom","53","4.5812","7.8504",NULL,NULL
"63","Oron","Akwa Ibom","55","4.8074","8.2377",NULL,NULL
"64","Oruk Anam","Akwa Ibom","56","4.7882","7.6765",NULL,NULL
"65","Ini","Akwa Ibom","56","5.3866","7.7417",NULL,NULL
"67","Itu","Akwa Ibom","57","5.1551","8.0247",NULL,NULL
"68","Eket","Akwa Ibom","59","4.6467","7.9429",NULL,NULL
"69","Esit Eket","Akwa Ibom","60","4.6607","8.0683",NULL,NULL
"70","Essien Udim","Akwa Ibom","61","5.1185","7.6331",NULL,NULL
"71","Ebe Ikpe","Akwa Ibom","61","5.1034","7.7614",NULL,NULL
"72","Etim Ekpo","Akwa Ibom","63","5.0137","7.6139",NULL,NULL
"73","Ukanafun","Akwa Ibom","65","5.0024","7.743",NULL,NULL
"74","Ikot Ibekwe","Akwa Ibom","65","4.9044","7.5628",NULL,NULL
"75","Uruan","Akwa Ibom","66","5.0337","8.0683",NULL,NULL
"76","Uyo","Akwa Ibom","68","5.0377","7.9128",NULL,NULL
"77","Mbo","Akwa Ibom","69","4.6483","8.2541",NULL,NULL
"78","Njikoka","Anambra","70","6.1784","6.988",NULL,NULL
"79","Nawfia","Anambra","70","6.1881","7.022",NULL,NULL
"80","Enugwu-Ukwu","Anambra","70","6.172","7.0304",NULL,NULL
"81","Aguata","Anambra","71","6.0086","7.1009",NULL,NULL
"82","Uga","Anambra","71","6.4483","7.0794",NULL,NULL
"83","Nnewi North","Anambra","72","6.0137","6.9102",NULL,NULL
"84","Nnewi South","Anambra","73","5.9602","6.9853",NULL,NULL
"86","Idemili North","Anambra","74","6.1237","6.9478",NULL,NULL
"87","Obosi","Anambra","74","6.112","6.8324",NULL,NULL
"89","Idemili South","Anambra","75","6.0773","6.8673",NULL,NULL
"90","Anambra East","Anambra","76","6.3093","6.8673",NULL,NULL
"91","Otuocha","Anambra","76","6.3359","6.8512",NULL,NULL
"92","Aguleri","Anambra","76","6.3276","6.8807",NULL,NULL
"93","Anambra West","Anambra","77","6.3593","6.7497",NULL,NULL
"94","Anaocha","Anambra","78","6.0682","6.9963",NULL,NULL
"95","Ogbaru","Anambra","79","5.9213","6.728",NULL,NULL
"96","Iyiowa-Odekpe","Anambra","79","6.0576","6.7601",NULL,NULL
"97","Ihiala","Anambra","80","5.8516","6.8512",NULL,NULL
"99","Orsumoghu","Anambra","80","5.8722","6.935",NULL,NULL
"100","Okija","Anambra","80","5.8994","6.8354",NULL,NULL
"101","Awka North","Anambra","81","6.2636","7.1252",NULL,NULL
"102","Akwa North","Anambra","81","6.2636","7.1252",NULL,NULL
"103","Awka South","Anambra","82","6.2069","7.0678",NULL,NULL
"104","Akwa South","Anambra","82","6.2069","7.0678",NULL,NULL
"105","Ifite Awka","Anambra","82","6.2404","7.0902",NULL,NULL
"106","Nise","Anambra","82","6.1618","7.0525",NULL,NULL
"107","Anaku","Anambra","83","6.4684","6.9303",NULL,NULL
"108","Ayamelum","Anambra","83","6.4878","6.9639",NULL,NULL
"109","Onitsha North","Anambra","84","6.1624","6.8029",NULL,NULL
"110","Onitsha South","Anambra","85","6.1364","6.7762",NULL,NULL
"111","Ochanja Central Market Onitsha","Anambra","85","6.1385","6.7852",NULL,NULL
"112","Orumba North","Anambra","86","6.0543","7.2194",NULL,NULL
"114","Orumba South","Anambra","87","5.9994","7.2006",NULL,NULL
"115","Oyi","Anambra","88","6.2246","6.8887",NULL,NULL
"116","Ogbunike","Anambra","88","6.1759","6.88",NULL,NULL
"117","Nteje","Anambra","88","6.2637","6.9182",NULL,NULL
"118","Dunukofia","Anambra","89","6.2738","6.978",NULL,NULL
"119","Ekwusigo","Anambra","90","5.9566","6.8512",NULL,NULL
"120","Ozubulu","Anambra","90","5.9593","6.8485",NULL,NULL
"121","Nembe","Bayelsa","91","4.5328","6.4037",NULL,NULL
"122","Ogbia","Bayelsa","92","4.6901","6.3213",NULL,NULL
"123","Otuoke","Bayelsa","92","4.7944","6.3146",NULL,NULL
"124","Oloibiri","Bayelsa","92","4.6703","6.3126",NULL,NULL
"125","Brass","Bayelsa","93","4.3078","6.2456",NULL,NULL
"126","Brass Island","Bayelsa","93","4.3169","6.2428",NULL,NULL
"127","Sagbama","Bayelsa","94","5.1593","6.1971",NULL,NULL
"128","Sagbama ","Bayelsa","94","5.1593","6.1971",NULL,NULL
"129","Southern Ijaw","Bayelsa","95","4.6198","5.9833",NULL,NULL
"130","Southern Ijaw ","Bayelsa","95","4.6198","5.9833",NULL,NULL
"131","Olugbobiri","Bayelsa","95","4.6504","5.9871",NULL,NULL
"132","Ijaw","Bayelsa","95","4.4701","6.2541",NULL,NULL
"133","Kolokuma/Opokuma","Bayelsa","96","5.092","6.2588",NULL,NULL
"134","Opokuma","Bayelsa","96","5.0786","6.2665",NULL,NULL
"136","Kolokuma","Bayelsa","96","5.092","6.2588",NULL,NULL
"137","Ekeremor","Bayelsa","97","5.0563","5.7813",NULL,NULL
"139","Yenagoa","Bayelsa","98","4.9514","6.3492",NULL,NULL
"141","Opolo","Bayelsa","98","4.9128","6.3412",NULL,NULL
"142","Azikoro","Bayelsa","98","4.89","6.296",NULL,NULL
"143","Okaka community","Bayelsa","98","4.9183","6.304",NULL,NULL
"144","Amarata Yenagoa","Bayelsa","98","4.9514","6.3492",NULL,NULL
"145","Guma","Benue","99","7.9541","8.7481",NULL,NULL
"146","Ikpayongo","Benue","100","7.5725","8.5968",NULL,NULL
"147","Agatu","Benue","102","7.8412","7.9157",NULL,NULL
"148","Aila","Benue","102","7.8705","8.007",NULL,NULL
"149","Ogbadibo","Benue","104","6.9876","7.6548",NULL,NULL
"150","Otukpa","Benue","104","7.1382","7.6697",NULL,NULL
"151","Apa ","Benue","105","6.7072","7.8939",NULL,NULL
"152","Apa","Benue","105","6.7072","7.8939",NULL,NULL
"153","Ikobi","Benue","105","7.7507","8.0002",NULL,NULL
"154","Ado","Benue","106","7.7962","7.7641",NULL,NULL
"155","Ado ","Benue","106","7.7962","7.7641",NULL,NULL
"156","Ohimini","Benue","107","7.2396","7.9157",NULL,NULL
"157","Oju","Benue","108","6.8398","8.415",NULL,NULL
"158","Okpokwu","Benue","109","7.0701","7.8286",NULL,NULL
"159","Otukpo","Benue","110","7.1982","8.1393",NULL,NULL
"160","Katsina Ala","Benue","112","7.1658","9.2841",NULL,NULL
"161","Konshisha","Benue","113","7.0997","8.5721",NULL,NULL
"162","Tarka","Benue","114","7.6299","8.8142",NULL,NULL
"163","Kwande","Benue","115","6.9126","9.4562",NULL,NULL
"164","Ukum","Benue","116","7.5909","9.6341",NULL,NULL
"165","Logo","Benue","117","7.5987","9.2786",NULL,NULL
"166","Ugba","Benue","117","7.5061","9.3507",NULL,NULL
"167","Ushongo","Benue","118","6.947","9.255",NULL,NULL
"168","Vandeikya","Benue","119","6.7835","9.0695",NULL,NULL
"169","Makurdi","Benue","120","7.7322","8.5391",NULL,NULL
"170","Wadata","Benue","120","7.743","8.5038",NULL,NULL
"171","Gboko","Benue","121","7.3368","9.0018",NULL,NULL
"172","Gboko ","Benue","121","7.3368","9.0018",NULL,NULL
"173","Abadam","Borno","122","13.6182","13.2649",NULL,NULL
"174","Gudumbali","Borno","123","12.9461","13.1878",NULL,NULL
"175","Ngala","Borno","124","12.3402","14.18635367",NULL,NULL
"176","Nganzai","Borno","125","12.4858","13.20541612",NULL,NULL
"177","Gwoza","Borno","126","11.0897","13.6884",NULL,NULL
"179","Askira/Uba","Borno","128","10.6563","13.1279",NULL,NULL
"180","Bama","Borno","129","11.5218","13.6864",NULL,NULL
"181","Ladantar","Borno","129","11.8846","13.152",NULL,NULL
"182","Bama ","Borno","129","11.5218","13.6864",NULL,NULL
"183","Banki","Borno","129","11.25257","14.151615",NULL,NULL
"184","Biu","Borno","131","10.6117","12.1919",NULL,NULL
"185","Jere","Borno","132","11.8948","13.2202",NULL,NULL
"186","Muna Dalti","Borno","132","11.9167","13.13228866",NULL,NULL
"187","Chibok","Borno","133","10.8692","12.8476",NULL,NULL
"188","Kaga","Borno","134","11.5246","12.5298",NULL,NULL
"189","Ngamdu","Borno","134","11.7652","12.2605",NULL,NULL
"190","Damboa","Borno","135","11.1561","12.7566",NULL,NULL
"191","Danboa","Borno","135","11.155248","12.757076",NULL,NULL
"192","Kala","Borno","136","12.0818","14.468",NULL,NULL
"193","Rann","Borno","136","12.26856415","14.46360824",NULL,NULL
"194","Dikwa","Borno","137","12.042","13.9173",NULL,NULL
"195","Shani","Borno","138","10.2227","12.0518",NULL,NULL
"196","Konduga","Borno","139","11.6549","13.4197",NULL,NULL
"197","Dalori","Borno","139","11.8829","14.1644",NULL,NULL
"198","Kumala","Borno","139","11.489","12.9655",NULL,NULL
"199","Kukawa","Borno","140","12.923","13.5639",NULL,NULL
"200","Baga","Borno","140","13.118475","13.862569",NULL,NULL
"201","Mafa","Borno","142","11.924","13.5987",NULL,NULL
"202","Koshebe","Borno","142","11.9903","13.3241",NULL,NULL
"203","Mafa ","Borno","142","11.924","13.5987",NULL,NULL
"204","Ngwom","Borno","142","11.88438949","13.34537854",NULL,NULL
"205","Magumeri ","Borno","143","12.1151","12.8256",NULL,NULL
"206","Magumeri","Borno","143","12.1151","12.8256",NULL,NULL
"207","Maiduguri","Borno","144","11.8311","11.8311",NULL,NULL
"208","Marte","Borno","145","12.3641","13.14997754",NULL,NULL
"209","Mobbar","Borno","146","13.1002","12.509954",NULL,NULL
"210","Damasak","Borno","146","13.0996","12.5113",NULL,NULL
"211","Monguno","Borno","147","12.6726","13.61551986",NULL,NULL
"212","Gubio","Borno","148","12.4955","12.7796",NULL,NULL
"213","Abi","Cross River","149","5.8702","8.5988",NULL,NULL
"214","Akamkpa","Cross River","150","5.319","8.3499",NULL,NULL
"215","Obanliku","Cross River","151","6.5344","9.3229",NULL,NULL
"216","Akpabuyo","Cross River","152","4.8808","8.5282",NULL,NULL
"217","Obubra","Cross River","153","6.082","8.3278",NULL,NULL
"218","Obubra ","Cross River","153","6.082","8.3278",NULL,NULL
"219","Obudu","Cross River","154","6.6694","9.1622",NULL,NULL
"220","Odukpani","Cross River","155","5.0812","8.3499",NULL,NULL
"221","Adiabo","Cross River","155","5.0706","8.2463",NULL,NULL
"222","Ogoja","Cross River","156","6.6548","8.7977",NULL,NULL
"223","Ikom","Cross River","157","5.9617","8.7206",NULL,NULL
"224","Bakassi","Cross River","158","4.6135","8.5941",NULL,NULL
"225","Bekwara","Cross River","158","6.69","8.9025",NULL,NULL
"226","Bekwarra","Cross River","159","6.69","8.9025",NULL,NULL
"227","Biase","Cross River","160","5.5483","8.0902",NULL,NULL
"228","Baise","Cross River","160","5.5483","8.0902",NULL,NULL
"229","Biase ","Cross River","160","5.5483","8.0902",NULL,NULL
"230","Boki","Cross River","161","6.2467","8.9245",NULL,NULL
"231","Ebbaken ","Cross River","161","4.9757","8.3417",NULL,NULL
"232","Boki ","Cross River","161","6.2467","8.9245",NULL,NULL
"233","Ikot ansa","Cross River","162","5.013","8.3431",NULL,NULL
"234","Calabar South","Cross River","163","4.8627","8.3307",NULL,NULL
"235","Etung","Cross River","164","5.8717","8.7922",NULL,NULL
"236","Yakurr","Cross River","165","5.7973","8.1776",NULL,NULL
"237","Yakkur","Cross River","165","5.7973","8.1776",NULL,NULL
"238","Yala","Cross River","166","6.6316","8.6161",NULL,NULL
"239","Okuku","Cross River","166","6.7082","8.7757",NULL,NULL
"240","Yache","Cross River","166","6.8091","8.7591",NULL,NULL
"241","Abakaliki","Ebonyi","167","6.3231","8.112",NULL,NULL
"242","Afikpo North","Ebonyi","168","5.9054","7.9375",NULL,NULL
"243","Afikpo","Ebonyi","168","5.8911","7.9307",NULL,NULL
"244","Afikpo South","Ebonyi","169","5.8654","7.8069",NULL,NULL
"245","Ohaozara","Ebonyi","170","5.9917","7.7634",NULL,NULL
"246","Isieke","Ebonyi","170","6.3819","8.0374",NULL,NULL
"247","Ohaukwu","Ebonyi","171","6.4725","8.0029",NULL,NULL
"248","Effium","Ebonyi","171","6.633","8.0602",NULL,NULL
"249","Ezzamgbo","Ebonyi","171","6.3994","7.9484",NULL,NULL
"250","Ikwo","Ebonyi","172","6.0659","8.0953",NULL,NULL
"251","Onicha","Ebonyi","173","6.1098","7.8385",NULL,NULL
"252","Ishielu","Ebonyi","174","6.3907","7.8286",NULL,NULL
"253","Ivo","Ebonyi","175","5.9097","7.6331",NULL,NULL
"254","Ishiagu","Ebonyi","175","5.9552","7.5599",NULL,NULL
"255","Izzi ","Ebonyi","176","6.5792","8.0475",NULL,NULL
